Date,Review Text,label,cleansing,baku,stopwords,stemming
2026-04-25 17:46:41,sistem parah 1 jam yg sia sia,1,sistem parah jam yg sia sia,sistem parah jam yang sia sia,sistem parah jam sia sia,sistem parah jam sia sia
2026-04-25 17:45:32,"dibelain begadang buat war tiket tp waktu jam 12 malem apk error stuck di isi penumpang, di refresh² gabisa sampe jam set1 malem tiba² jadwal yg mau dibeli udah abis, bener² kudu diperbaiki lagi sistemnya kai plisss biar ga buang² waktu istirahat di tengah malem kaya ginii",1,dibelain begadang buat war tiket tp waktu jam malem apk error stuck di isi penumpang di refresh gabisa sampe jam set malem tiba jadwal yg mau dibeli udah abis bener kudu diperbaiki lagi sistemnya kai plisss biar ga buang waktu istirahat di tengah malem kaya ginii,dibelain begadang untuk rebutan tiket tapi waktu jam malem aplikasi error loading di isi penumpang di refresh tidak bisa sampai jam set malem tiba jadwal yang mau dibeli sudah abis benar harus diperbaiki lagi sistemnya kai tolong agar tidak buang waktu istirahat di tengah malem kaya ginii,dibelain begadang rebutan tiket jam malem aplikasi error loading isi penumpang refresh tidak bisa jam set malem jadwal dibeli abis diperbaiki sistemnya kai tolong tidak buang istirahat malem kaya ginii,bain begadang rebut tiket jam malem aplikasi error loading isi tumpang refresh tidak bisa jam set malem jadwal beli abis baik sistem kai tolong tidak buang istirahat malem kaya ginii
2026-04-25 17:44:26,lemot parah kalo chekin lokal,1,lemot parah kalo chekin lokal,lambat parah kalau check in lokal,lambat parah check in lokal,lambat parah check in lokal
2026-04-25 17:42:37,"apk sampah,dibenerin dulu blok pesen susahnya minta ampun,sistem eror kalo apk banyak yang pake sampah banget wk",1,apk sampah dibenerin dulu blok pesen susahnya minta ampun sistem eror kalo apk banyak yang pake sampah banget wk,aplikasi sampah dibenerin dulu bodoh pesan susahnya minta ampun sistem error kalau aplikasi banyak yang pakai sampah sekali wk,aplikasi sampah dibenerin bodoh pesan susahnya ampun sistem error aplikasi pakai sampah wk,aplikasi sampah dibenerin bodoh pesan susah ampun sistem error aplikasi pakai sampah wk
2026-04-25 17:35:26,"aplikasi minus banyak bug pesen tiket h-6 malah eror najiss,udah di belain begadang war tiket malah gini kecewa",1,aplikasi minus banyak bug pesen tiket h malah eror najiss udah di belain begadang war tiket malah gini kecewa,aplikasi minus banyak bug pesan tiket h malah error jelek sudah di belain begadang rebutan tiket malah gini kecewa,aplikasi minus bug pesan tiket h error jelek belain begadang rebutan tiket gini kecewa,aplikasi minus bug pesan tiket h error jelek bain begadang rebut tiket gin kecewa
2026-04-25 17:34:01,"tambah bikin ribet masa iya pesan tiket jam 00.00 yang harusnya udah keluar tiketnya tambah ini aplikasi lemot banget ga keluar"" jadwal pemberangkatannya nanti kalo udah jam 1.00 tiket udah habis semua,, tolong ya ini sistemnya di perbaiki lagi biar masyarakat ga kecewa sama sistem pesan online lewat kai acces",1,tambah bikin ribet masa iya pesan tiket jam yang harusnya udah keluar tiketnya tambah ini aplikasi lemot banget ga keluar jadwal pemberangkatannya nanti kalo udah jam tiket udah habis semua tolong ya ini sistemnya di perbaiki lagi biar masyarakat ga kecewa sama sistem pesan online lewat kai acces,tambah buat ribet masa iya pesan tiket jam yang harusnya sudah keluar tiketnya tambah ini aplikasi lambat sekali tidak keluar jadwal pemberangkatannya nanti kalau sudah jam tiket sudah habis semua tolong iya ini sistemnya di perbaiki lagi agar masyarakat tidak kecewa sama sistem pesan online lewat kai acces,ribet iya pesan tiket jam keluar tiketnya aplikasi lambat tidak keluar jadwal pemberangkatannya jam tiket habis tolong iya sistemnya perbaiki masyarakat tidak kecewa sistem pesan online kai acces,ribet iya pesan tiket jam keluar tiket aplikasi lambat tidak keluar jadwal berangkat jam tiket habis tolong iya sistem baik masyarakat tidak kecewa sistem pesan online kai acces
2026-04-25 17:33:36,"susah bgt buat pesan saat jam tengah malam, loading nya lama bisa sampai set jam, pesan ataupun membatalkan pesanan tiket sama load nya lama",1,susah bgt buat pesan saat jam tengah malam loading nya lama bisa sampai set jam pesan ataupun membatalkan pesanan tiket sama load nya lama,susah sangat untuk pesan saat jam tengah malam loading nya lama bisa sampai set jam pesan ataupun membatalkan pesanan tiket sama loading nya lama,susah pesan jam malam loading lama bisa set jam pesan membatalkan pesanan tiket loading lama,susah pesan jam malam loading lama bisa set jam pesan batal pesan tiket loading lama
2026-04-25 17:25:04,"ya begitulah aplikasi pemerintah gk ada yang pokro gak jelas, lebih baik d hapus semakin tahun gk semakin bagus semakin jelek",0,ya begitulah aplikasi pemerintah gk ada yang pokro gak jelas lebih baik d hapus semakin tahun gk semakin bagus semakin jelek,iya begitulah aplikasi pemerintah tidak ada yang benar tidak jelas lebih baik di hapus semakin tahun tidak semakin bagus semakin jelek,iya aplikasi pemerintah tidak tidak hapus tidak bagus jelek,iya aplikasi perintah tidak tidak hapus tidak bagus jelek
2026-04-25 17:24:26,aplikasi eror gampang lemot,1,aplikasi eror gampang lemot,aplikasi error gampang lambat,aplikasi error gampang lambat,aplikasi error gampang lambat
2026-04-25 17:23:17,"Tolong server nya ditambahin lagi ya KAI. di jam"" kritis misal barengan tiket mudik, saya beli tiket lokal tapi aplikasi nya error terus. isinya cuma muter"" di aplikasi nya dan muncul kode error tolong ditambahi lagi kekuatan server nya biar bisa di akses se jawa.",1,tolong server nya ditambahin lagi ya kai di jam kritis misal barengan tiket mudik saya beli tiket lokal tapi aplikasi nya error terus isinya cuma muter di aplikasi nya dan muncul kode error tolong ditambahi lagi kekuatan server nya biar bisa di akses se jawa,tolong server nya ditambahin lagi iya kai di jam kritis misal barengan tiket mudik saya beli tiket lokal tapi aplikasi nya error terus isinya cuma muter di aplikasi nya dan muncul kode error tolong ditambahi lagi kekuatan server nya agar bisa di akses se jawa,tolong server ditambahin iya kai jam kritis barengan tiket mudik beli tiket lokal aplikasi error isinya muter aplikasi muncul kode error tolong ditambahi kekuatan server bisa akses jawa,tolong server ditambahin iya kai jam kritis bareng tiket mudik beli tiket lokal aplikasi error isi muter aplikasi muncul kode error tolong tambah kuat server bisa akses jawa
2026-04-25 17:21:57,busuk banget server tiket KA Lokal pas war tiket jam 12 malem anj,1,busuk banget server tiket ka lokal pas war tiket jam malem anj,buruk sekali server tiket ka lokal pas rebutan tiket jam malem parah,buruk server tiket ka lokal pas rebutan tiket jam malem parah,buruk server tiket ka lokal pas rebut tiket jam malem parah
2026-04-25 17:20:34,"Aplikasi tidak jelas, perlu maintenance lagi.. udah milih kursi mau pembayaran ga bisa.. setiap pemesanan pasti error..",1,aplikasi tidak jelas perlu maintenance lagi udah milih kursi mau pembayaran ga bisa setiap pemesanan pasti error,aplikasi tidak jelas perlu maintenance lagi sudah milih kursi mau pembayaran tidak bisa setiap pemesanan pasti error,aplikasi tidak maintenance milih kursi pembayaran tidak bisa pemesanan error,aplikasi tidak maintenance milih kursi bayar tidak bisa mesan error
2026-04-25 17:18:37,ERROR TERUS TIAP MAU PESEN TIKET ASTAGAAAA,1,error terus tiap mau pesen tiket astagaaaa,error terus setiap mau pesan tiket astagaaaa,error pesan tiket astagaaaa,error pesan tiket astagaaaa
2026-04-25 17:16:21,"Tertulis tersedia, pas diklik gabisa. milih tanggal udah bener, pas masuk gak ada tiketnya alias blank. Nambah saldo kepotong administrasi, ada aja cacatnya. diupdate ga tambah mutakhir malah makin buruk.",1,tertulis tersedia pas diklik gabisa milih tanggal udah bener pas masuk gak ada tiketnya alias blank nambah saldo kepotong administrasi ada aja cacatnya diupdate ga tambah mutakhir malah makin buruk,tertulis tersedia pas diklik tidak bisa milih tanggal sudah benar pas masuk tidak ada tiketnya alias error tambah saldo kepotong administrasi ada saja cacatnya diupdate tidak tambah mutakhir malah makin buruk,tertulis tersedia pas diklik tidak bisa milih tanggal pas masuk tidak tiketnya alias error saldo kepotong administrasi cacatnya diupdate tidak mutakhir buruk,tulis sedia pas klik tidak bisa milih tanggal pas masuk tidak tiket alias error saldo potong administrasi cacat diupdate tidak mutakhir buruk
2026-04-25 17:13:20,"Mohon server lebih dioptimalkan lagi,agar tidak terjadi error saat pemesanan tiket KA lokal di tengah malam.",1,mohon server lebih dioptimalkan lagi agar tidak terjadi error saat pemesanan tiket ka lokal di tengah malam,mohon server lebih dioptimalkan lagi agar tidak terjadi error saat pemesanan tiket ka lokal di tengah malam,mohon server dioptimalkan tidak error pemesanan tiket ka lokal malam,mohon server optimal tidak error mesan tiket ka lokal malam
2026-04-25 17:12:41,"makin kesini sistem aplikasi malah makin buruk, suka ngeblank juga",1,makin kesini sistem aplikasi malah makin buruk suka ngeblank juga,makin kesini sistem aplikasi malah makin buruk suka error juga,kesini sistem aplikasi buruk suka error,kesini sistem aplikasi buruk suka error
2026-04-25 17:08:14,"aplikasi gampang eror, war tiket lokal susah banget",1,aplikasi gampang eror war tiket lokal susah banget,aplikasi gampang error rebutan tiket lokal susah sekali,aplikasi gampang error rebutan tiket lokal susah,aplikasi gampang error rebut tiket lokal susah
2026-04-25 17:06:28,suka lag kalau di buat war tiket,1,suka lag kalau di buat war tiket,suka lag kalau di untuk rebutan tiket,suka lag rebutan tiket,suka lag rebut tiket
2026-04-25 14:30:12,"udah login terus, ganti password udah tanya adminnya gagal login terus, masalahnya apa? jawaban dari admin juga nggak guna .. aplikasi dah bagus malah error !",1,udah login terus ganti password udah tanya adminnya gagal login terus masalahnya apa jawaban dari admin juga nggak guna aplikasi dah bagus malah error,sudah login terus ganti password sudah tanya adminnya gagal login terus masalahnya apa jawaban dari admin juga tidak guna aplikasi dah bagus malah error,login ganti password adminnya gagal login admin tidak aplikasi dah bagus error,login ganti password adminnya gagal login admin tidak aplikasi dah bagus error
2026-04-25 13:16:54,"aplikasinya aneh, pas udah batal booking, trus pesan tiket ulang malah ada notif sudah booking. padahal udah batal dan ngga ada riwayat ada tiket yang belum dipesan. tolong di perbaharui fiturnya biar ngga lelet",1,aplikasinya aneh pas udah batal booking trus pesan tiket ulang malah ada notif sudah booking padahal udah batal dan ngga ada riwayat ada tiket yang belum dipesan tolong di perbaharui fiturnya biar ngga lelet,aplikasinya aneh pas sudah batal booking terus pesan tiket ulang malah ada notif sudah booking padahal sudah batal dan tidak ada riwayat ada tiket yang belum dipesan tolong di perbaharui fiturnya agar tidak lambat,aplikasinya aneh pas batal booking pesan tiket ulang notif booking batal tidak riwayat tiket belum dipesan tolong perbaharui fiturnya tidak lambat,aplikasi aneh pas batal booking pesan tiket ulang notif booking batal tidak riwayat tiket belum pes tolong baharu fiturnya tidak lambat
2026-04-25 12:52:49,"jelek, masih sering ngebug",1,jelek masih sering ngebug,jelek masih sering bug,jelek bug,jelek bug
2026-04-25 12:45:00,aplikasi rusak error mulu,1,aplikasi rusak error mulu,aplikasi rusak error terus,aplikasi rusak error,aplikasi rusak error
2026-04-25 12:33:27,"merasa dirugikan aja udah pendaftaran sampai pembayaran tp tiket ilang GK masuk . udh konfirmasi,tp sama uang GK kembali tiket ilang buat 6 orang pulang-pergi. jujur apk tersampah 👎👎👎",1,merasa dirugikan aja udah pendaftaran sampai pembayaran tp tiket ilang gk masuk udh konfirmasi tp sama uang gk kembali tiket ilang buat orang pulang pergi jujur apk tersampah,merasa dirugikan saja sudah pendaftaran sampai pembayaran tapi tiket hilang tidak masuk sudah konfirmasi tapi sama uang tidak kembali tiket hilang untuk orang pulang pergi jujur aplikasi tersampah,dirugikan pendaftaran pembayaran tiket hilang tidak masuk konfirmasi uang tidak tiket hilang orang pulang pergi jujur aplikasi tersampah,rugi daftar bayar tiket hilang tidak masuk konfirmasi uang tidak tiket hilang orang pulang pergi jujur aplikasi sampah
2026-04-25 06:27:36,otp nya loding nya lama,1,otp nya loding nya lama,otp nya loading nya lama,otp loading lama,otp loading lama
2026-04-25 03:27:30,aplikasi tolol ngebug trus,1,aplikasi tolol ngebug trus,aplikasi bodoh bug terus,aplikasi bodoh bug,aplikasi bodoh bug
2026-04-25 01:54:09,upgrade ke basic masukin otp loading mulu,1,upgrade ke basic masukin otp loading mulu,pembaruan ke basic masukin otp loading terus,pembaruan basic masukin otp loading,baru basic masukin otp loading
2026-04-25 01:13:30,padahal pakai android 13 tidak kompatibel 👎,1,padahal pakai android tidak kompatibel,padahal pakai android tidak kompatibel,pakai android tidak kompatibel,pakai android tidak kompatibel
2026-04-25 00:07:19,"sayang banget ga bisa beli tiket hari itu juga 😥. Aplikasinya perlu perbaikan, banyak bugnya",1,sayang banget ga bisa beli tiket hari itu juga aplikasinya perlu perbaikan banyak bugnya,sayang sekali tidak bisa beli tiket hari itu juga aplikasinya perlu perbaikan banyak bug,sayang tidak bisa beli tiket aplikasinya perbaikan bug,sayang tidak bisa beli tiket aplikasi baik bug
2026-04-24 23:10:25,susah untuk daftar baru,1,susah untuk daftar baru,susah untuk daftar baru,susah daftar baru,susah daftar baru
2026-04-24 21:24:19,"tiket jember surabaya 24 april 2026 saya cek jam 3.45 sampai 4.25 gk muncul2 di aplikasinya, error kah?? duh kai tolong lah lebih cepat lg dlm penanganan IT nya krn potensi kehilangan omset",1,tiket jember surabaya april saya cek jam sampai gk muncul di aplikasinya error kah duh kai tolong lah lebih cepat lg dlm penanganan it nya krn potensi kehilangan omset,tiket jember surabaya april saya cek jam sampai tidak muncul di aplikasinya error kah duh kai tolong lah lebih cepat lagi dalam penanganan it nya karena potensi kehilangan omset,tiket jember surabaya april cek jam tidak muncul aplikasinya error kah duh kai tolong cepat penanganan it potensi kehilangan omset,tiket jember surabaya april cek jam tidak muncul aplikasi error kah duh kai tolong cepat tangan it potensi hilang omset
2026-04-24 20:57:27,"Aplikasi ini kurang maksimal meskipun harga selisih lebih mahal dibanding beli langsung di stasiun. sehari sebelum keberangkatan tidak ditampilkan, padahal di situs komersil lain ada. biaya aplikasi & implementasi tidak sesuai",0,aplikasi ini kurang maksimal meskipun harga selisih lebih mahal dibanding beli langsung di stasiun sehari sebelum keberangkatan tidak ditampilkan padahal di situs komersil lain ada biaya aplikasi implementasi tidak sesuai,aplikasi ini kurang maksimal meskipun harga selisih lebih mahal dibanding beli langsung di stasiun sehari sebelum keberangkatan tidak ditampilkan padahal di situs komersil lain ada biaya aplikasi implementasi tidak sesuai,aplikasi kurang maksimal harga selisih mahal dibanding beli langsung stasiun sehari keberangkatan tidak ditampilkan situs komersil biaya aplikasi implementasi tidak sesuai,aplikasi kurang maksimal harga selisih mahal banding beli langsung stasiun hari berangkat tidak tampil situs komersil biaya aplikasi implementasi tidak sesuai
2026-04-24 17:03:00,"banyak bug nya, pemesanan tiket banyak erornya",1,banyak bug nya pemesanan tiket banyak erornya,banyak bug nya pemesanan tiket banyak error,bug pemesanan tiket error,bug mesan tiket error
2026-04-24 15:22:59,"baik pelayanan dan ada fasilitas musholla juga tempat wudhu kaki, agar dijaga dan lebih ditingkatkan lagi pelayanannya..",0,baik pelayanan dan ada fasilitas musholla juga tempat wudhu kaki agar dijaga dan lebih ditingkatkan lagi pelayanannya,baik pelayanan dan ada fasilitas musholla juga tempat wudhu kaki agar dijaga dan lebih ditingkatkan lagi pelayanannya,pelayanan fasilitas musholla wudhu kaki dijaga ditingkatkan pelayanannya,layan fasilitas musholla wudhu kaki jaga tingkat layan
2026-04-24 12:46:03,"keseringan gangguan, tidak berkualitas",1,keseringan gangguan tidak berkualitas,sering gangguan tidak berkualitas,gangguan tidak berkualitas,ganggu tidak kualitas
2026-04-24 12:11:07,Sangat berkesan menggunakan aplikasi ini,0,sangat berkesan menggunakan aplikasi ini,sangat berkesan menggunakan aplikasi ini,berkesan aplikasi,kesan aplikasi
2026-04-24 09:02:22,lancar dari Jakarta ke Bali aman dan nyaman,0,lancar dari jakarta ke bali aman dan nyaman,lancar dari jakarta ke bali aman dan nyaman,lancar jakarta bali aman nyaman,lancar jakarta bal aman nyaman
2026-04-24 06:06:17,Tolong tambahankan pemesanan Porter di pemesanan tiket. kadang kita pesan tiket itu untuk orang tua. jadi bisa sekalian pesan porter untuk bawa barangnya. biar tidak cari² porter lagi. terimakasih,0,tolong tambahankan pemesanan porter di pemesanan tiket kadang kita pesan tiket itu untuk orang tua jadi bisa sekalian pesan porter untuk bawa barangnya biar tidak cari porter lagi terimakasih,tolong tambahankan pemesanan porter di pemesanan tiket kadang kita pesan tiket itu untuk orang tua jadi bisa sekalian pesan porter untuk bawa barangnya agar tidak cari porter lagi terimakasih,tolong tambahankan pemesanan porter pemesanan tiket kadang pesan tiket orang tua bisa pesan porter bawa barangnya tidak cari porter terimakasih,tolong tambahankan mesan porter mesan tiket kadang pesan tiket orang tua bisa pesan porter bawa barang tidak cari porter terimakasih
2026-04-24 05:35:38,aplikasi nya mudah digunakan,0,aplikasi nya mudah digunakan,aplikasi nya mudah digunakan,aplikasi mudah,aplikasi mudah
2026-04-24 05:30:12,tidak bisa upgrade member basic susah sekali tidak bisa parah gimana kai access,1,tidak bisa upgrade member basic susah sekali tidak bisa parah gimana kai access,tidak bisa pembaruan member basic susah sekali tidak bisa parah gimana kai access,tidak bisa pembaruan member basic susah tidak bisa parah gimana kai access,tidak bisa baru member basic susah tidak bisa parah gimana kai access
2026-04-24 05:03:56,"mahal, gak ada subsidi dari cikampek karawang lawak. ditinggal kalah sama pesawat, bis dll",0,mahal gak ada subsidi dari cikampek karawang lawak ditinggal kalah sama pesawat bis dll,mahal tidak ada subsidi dari cikampek karawang lawak ditinggal kalah sama pesawat bus dll,mahal tidak subsidi cikampek karawang lawak ditinggal kalah pesawat bus dll,mahal tidak subsidi cikampek karawang lawak tinggal kalah pesawat bus dll
2026-04-24 03:45:27,android 10 tidak kompatibel :(,1,android tidak kompatibel,android tidak kompatibel,android tidak kompatibel,android tidak kompatibel
2026-04-24 01:01:46,"mohon maaf saya lagi promil,saya kebetulan tidak dapet tiket dikereta lokal saya numpang ditempat duduk untuk lansia / untuk yg sedang hamil,dan sakit kenapa saya disuruh untuk pindah trs ya ,semoga ada kemajuan untuk kereta lokal ,dan saya baru pertama kali ini diperlakukan seperti ini,untuk kereta lokal commuter line penataran jombang ke surabaya",0,mohon maaf saya lagi promil saya kebetulan tidak dapet tiket dikereta lokal saya numpang ditempat duduk untuk lansia untuk yg sedang hamil dan sakit kenapa saya disuruh untuk pindah trs ya semoga ada kemajuan untuk kereta lokal dan saya baru pertama kali ini diperlakukan seperti ini untuk kereta lokal commuter line penataran jombang ke surabaya,mohon maaf saya lagi promil saya kebetulan tidak dapat tiket dikereta lokal saya numpang ditempat duduk untuk lansia untuk yang sedang hamil dan sakit kenapa saya disuruh untuk pindah terus iya semoga ada kemajuan untuk kereta lokal dan saya baru pertama kali ini diperlakukan seperti ini untuk kereta lokal komuter line penataran jombang ke surabaya,mohon maaf promil tidak tiket dikereta lokal numpang ditempat duduk lansia hamil sakit disuruh pindah iya semoga kemajuan kereta lokal baru kali diperlakukan kereta lokal komuter line penataran jombang surabaya,mohon maaf promil tidak tiket kereta lokal numpang tempat duduk lansia hamil sakit suruh pindah iya moga maju kereta lokal baru kali laku kereta lokal komuter line natar jombang surabaya
2026-04-24 00:00:40,"gk bisa verifikasi otp pdhl udh bnr, dicoba selama 3 hari pun sama aja hasilnya.",1,gk bisa verifikasi otp pdhl udh bnr dicoba selama hari pun sama aja hasilnya,tidak bisa verifikasi otp padahal sudah benar dicoba selama hari pun sama saja hasilnya,tidak bisa verifikasi otp dicoba hasilnya,tidak bisa verifikasi otp coba hasil
2026-04-23 23:47:29,"begadang jam 12 bela belain beli tiket aplikasi blank ga bisa beli tiket sampe jam 2, bangun bangun tiket sudah habis h-7",1,begadang jam bela belain beli tiket aplikasi blank ga bisa beli tiket sampe jam bangun bangun tiket sudah habis h,begadang jam bela belain beli tiket aplikasi error tidak bisa beli tiket sampai jam bangun bangun tiket sudah habis h,begadang jam bela belain beli tiket aplikasi error tidak bisa beli tiket jam bangun bangun tiket habis h,begadang jam bela bain beli tiket aplikasi error tidak bisa beli tiket jam bangun bangun tiket habis h
2026-04-23 22:32:32,"penampilan aplikasi sudah lebih baik, namun untuk pengecekan tiket hanya bisa 3 kali dan lebih dari itu tidak tampil sama sekali tiket yang dicari walaupun tgl masih available. masih lebih baik aplikasi yang lamanya.",1,penampilan aplikasi sudah lebih baik namun untuk pengecekan tiket hanya bisa kali dan lebih dari itu tidak tampil sama sekali tiket yang dicari walaupun tgl masih available masih lebih baik aplikasi yang lamanya,penampilan aplikasi sudah lebih baik namun untuk pengecekan tiket hanya bisa kali dan lebih dari itu tidak tampil sama sekali tiket yang dicari walaupun tgl masih available masih lebih baik aplikasi yang lamanya,penampilan aplikasi pengecekan tiket bisa kali tidak tampil tiket dicari tgl available aplikasi,tampil aplikasi kece tiket bisa kali tidak tampil tiket cari tgl available aplikasi
2026-04-23 22:15:31,"aplikasi sampah, susah banget",0,aplikasi sampah susah banget,aplikasi sampah susah sekali,aplikasi sampah susah,aplikasi sampah susah
2026-04-23 17:19:19,"kadang jadwal yang dicari ga muncul dan lama banget. padahal tiket rute ini apalagi weekend selalu ramai. tolong diperbaiki. sudah 15 menit dicoba tetap ga keluar jadwalnya, terimakasih.",1,kadang jadwal yang dicari ga muncul dan lama banget padahal tiket rute ini apalagi weekend selalu ramai tolong diperbaiki sudah menit dicoba tetap ga keluar jadwalnya terimakasih,kadang jadwal yang dicari tidak muncul dan lama sekali padahal tiket rute ini apalagi weekend selalu ramai tolong diperbaiki sudah menit dicoba tetap tidak keluar jadwalnya terimakasih,kadang jadwal dicari tidak muncul lama tiket rute weekend ramai tolong diperbaiki menit dicoba tidak keluar jadwalnya terimakasih,kadang jadwal cari tidak muncul lama tiket rute weekend ramai tolong baik menit coba tidak keluar jadwal terimakasih
2026-04-23 17:05:45,"tiap cek jadwal kereta lokal jam 00.00 pasti blank, nanti di cek jam 00.30 sudah banyak yg habis",1,tiap cek jadwal kereta lokal jam pasti blank nanti di cek jam sudah banyak yg habis,setiap cek jadwal kereta lokal jam pasti error nanti di cek jam sudah banyak yang habis,cek jadwal kereta lokal jam error cek jam habis,cek jadwal kereta lokal jam error cek jam habis
2026-04-23 17:04:04,"Sangat bagus, berkembang lebih baik ya",0,sangat bagus berkembang lebih baik ya,sangat bagus berkembang lebih baik iya,bagus berkembang iya,bagus kembang iya
2026-04-23 16:06:49,"aplikasi sering tidak dapat digunakan, sangat sering maintenance",1,aplikasi sering tidak dapat digunakan sangat sering maintenance,aplikasi sering tidak dapat digunakan sangat sering maintenance,aplikasi tidak maintenance,aplikasi tidak maintenance
2026-04-23 13:04:06,bagus sangat bermanfaat👍👍,0,bagus sangat bermanfaat,bagus sangat bermanfaat,bagus bermanfaat,bagus manfaat
2026-04-23 11:26:22,add support android 14 dong,1,add support android dong,add support android dong,add support android,add support android
2026-04-23 10:28:23,"lelet aplikasinya, kok tiketnya habis terus kalau mau pesan... tolong diperbaiki.....",1,lelet aplikasinya kok tiketnya habis terus kalau mau pesan tolong diperbaiki,lambat aplikasinya mengapa tiketnya habis terus kalau mau pesan tolong diperbaiki,lambat aplikasinya tiketnya habis pesan tolong diperbaiki,lambat aplikasi tiket habis pesan tolong baik
2026-04-23 08:06:11,daftar ke akun basic gk bisa anjiirrrr,1,daftar ke akun basic gk bisa anjiirrrr,daftar ke akun basic tidak bisa parah,daftar akun basic tidak bisa parah,daftar akun basic tidak bisa parah
2026-04-23 07:46:03,bikin aplikasi bukan a makin mudah malah bikin dongkol data bener gak bisa masuk udh di coba 20x tetep aja gak bisa isi data,1,bikin aplikasi bukan a makin mudah malah bikin dongkol data bener gak bisa masuk udh di coba x tetep aja gak bisa isi data,buat aplikasi bukan a makin mudah malah buat marah data benar tidak bisa masuk sudah di coba x tetap saja tidak bisa isi data,aplikasi bukan a mudah marah data tidak bisa masuk coba x tidak bisa isi data,aplikasi bukan a mudah marah data tidak bisa masuk coba x tidak bisa isi data
2026-04-23 07:11:01,"kenapa sih hrs di buat aplikasi,gw jadi ketinggalan kereta sama belinya harus awal ga bisa di akhir niat ga sih bikin aplikasi",0,kenapa sih hrs di buat aplikasi gw jadi ketinggalan kereta sama belinya harus awal ga bisa di akhir niat ga sih bikin aplikasi,kenapa sih harus di untuk aplikasi saya jadi ketinggalan kereta sama belinya harus awal tidak bisa di akhir niat tidak sih buat aplikasi,aplikasi ketinggalan kereta belinya tidak bisa niat tidak aplikasi,aplikasi tinggal kereta beli tidak bisa niat tidak aplikasi
2026-04-23 06:30:29,"Tolong untuk asuransi pembatalan tiketnya(qo**a) di tinjau kembali.. Bekerja samalah dengan asuransi yang amanah.. bukan yg ribet, sdh berbulan bulan klaim kita gak beres².. setiap di chat hanya di suruh menunggu. Heran koq bisa PT KAI bekerja sama dgn asuransi abal²..",0,tolong untuk asuransi pembatalan tiketnya qo a di tinjau kembali bekerja samalah dengan asuransi yang amanah bukan yg ribet sdh berbulan bulan klaim kita gak beres setiap di chat hanya di suruh menunggu heran koq bisa pt kai bekerja sama dgn asuransi abal,tolong untuk asuransi pembatalan tiketnya qo a di tinjau kembali bekerja samalah dengan asuransi yang amanah bukan yang ribet sudah berbulan bulan klaim kita tidak beres setiap di chat hanya di suruh menunggu heran kok bisa pt kai bekerja sama dengan asuransi abal,tolong asuransi pembatalan tiketnya qo a tinjau samalah asuransi amanah bukan ribet berbulan klaim tidak beres chat suruh menunggu heran bisa pt kai asuransi abal,tolong asuransi batal tiket qo a tinjau sama asuransi amanah bukan ribet bulan klaim tidak beres chat suruh tunggu heran bisa pt kai asuransi abal
2026-04-23 03:48:03,KRL Tanah Abang ke Bekasi kok gak nyala sih ini AC nya,0,krl tanah abang ke bekasi kok gak nyala sih ini ac nya,komuter tanah abang ke bekasi mengapa tidak nyala sih ini ac nya,komuter tanah abang bekasi tidak nyala ac,komuter tanah abang bekas tidak nyala ac
2026-04-23 03:38:38,"Gimana si bkin akun basic gagal mulu, udh nyoba pke email dan nomer apapun gagal mulu dah .. payah bngt",1,gimana si bkin akun basic gagal mulu udh nyoba pke email dan nomer apapun gagal mulu dah payah bngt,gimana si bikin akun basic gagal terus sudah nyoba pakai email dan nomer apapun gagal terus dah payah banget,gimana si bikin akun basic gagal nyoba pakai email nomer apapun gagal dah payah banget,gimana si bikin akun basic gagal nyoba pakai email nomer apa gagal dah payah banget
2026-04-23 01:47:51,"klo uda ada kursi prioritas, ya jangan nyuruh orang yg duduk di tempat biasa berdiri dong, suru lah itu yg nempatin kursi prioritas berdiri (klo orang biasa). kenapa malah nyuruh orang di tempat biasa berdiri, trus fungsi kursi prio buuat apaan ???",0,klo uda ada kursi prioritas ya jangan nyuruh orang yg duduk di tempat biasa berdiri dong suru lah itu yg nempatin kursi prioritas berdiri klo orang biasa kenapa malah nyuruh orang di tempat biasa berdiri trus fungsi kursi prio buuat apaan,kalau sudah ada kursi prioritas iya jangan nyuruh orang yang duduk di tempat biasa berdiri dong suru lah itu yang nempatin kursi prioritas berdiri kalau orang biasa kenapa malah nyuruh orang di tempat biasa berdiri terus fungsi kursi prioritas buat apa,kursi prioritas iya jangan nyuruh orang duduk berdiri suru nempatin kursi prioritas berdiri orang nyuruh orang berdiri fungsi kursi prioritas,kursi prioritas iya jangan nyuruh orang duduk diri suru nempatin kursi prioritas diri orang nyuruh orang diri fungsi kursi prioritas
2026-04-22 20:40:01,Tidak bisa Ganti Data Penumpang.,1,tidak bisa ganti data penumpang,tidak bisa ganti data penumpang,tidak bisa ganti data penumpang,tidak bisa ganti data tumpang
